"Região","Variável","Ano","Valor"
"Brasil","Índice de Gini do rendimento domiciliar per capita, a preços médios do ano","2015",0.524
"Brasil","Índice de Gini do rendimento domiciliar per capita, a preços médios do ano","2016",0.537
"Brasil","Índice de Gini do rendimento domiciliar per capita, a preços médios do ano","2017",0.539
"Brasil","Índice de Gini do rendimento domiciliar per capita, a preços médios do ano","2018",0.545
"Brasil","Índice de Gini do rendimento domiciliar per capita, a preços médios do ano","2019",0.544
"Brasil","Índice de Gini do rendimento domiciliar per capita, a preços médios do ano","2020",0.524
"Brasil","Índice de Gini do rendimento domiciliar per capita, a preços médios do ano","2021",0.544
"Brasil","Índice de Gini do rendimento domiciliar per capita, a preços médios do ano","2022",0.518
"Nordeste","Índice de Gini do rendimento domiciliar per capita, a preços médios do ano","2015",0.533
"Nordeste","Índice de Gini do rendimento domiciliar per capita, a preços médios do ano","2016",0.544
"Nordeste","Índice de Gini do rendimento domiciliar per capita, a preços médios do ano","2017",0.557
"Nordeste","Índice de Gini do rendimento domiciliar per capita, a preços médios do ano","2018",0.546
"Nordeste","Índice de Gini do rendimento domiciliar per capita, a preços médios do ano","2019",0.56
"Nordeste","Índice de Gini do rendimento domiciliar per capita, a preços médios do ano","2020",0.526
"Nordeste","Índice de Gini do rendimento domiciliar per capita, a preços médios do ano","2021",0.556
"Nordeste","Índice de Gini do rendimento domiciliar per capita, a preços médios do ano","2022",0.517
"Sergipe","Índice de Gini do rendimento domiciliar per capita, a preços médios do ano","2015",0.539
"Sergipe","Índice de Gini do rendimento domiciliar per capita, a preços médios do ano","2016",0.567
"Sergipe","Índice de Gini do rendimento domiciliar per capita, a preços médios do ano","2017",0.551
"Sergipe","Índice de Gini do rendimento domiciliar per capita, a preços médios do ano","2018",0.578
"Sergipe","Índice de Gini do rendimento domiciliar per capita, a preços médios do ano","2019",0.581
"Sergipe","Índice de Gini do rendimento domiciliar per capita, a preços médios do ano","2020",0.524
"Sergipe","Índice de Gini do rendimento domiciliar per capita, a preços médios do ano","2021",0.568
"Sergipe","Índice de Gini do rendimento domiciliar per capita, a preços médios do ano","2022",0.528
