"Região";"Variável";"Ano";"Valor";"Valor corrigido";"Variação anual";"Índice"
"Brasil";"Valor Adicionado";2010;3302840;6324846,26;NA;100
"Brasil";"Valor Adicionado";2011;3720461;6689534,76;5,77;105,77
"Brasil";"Valor Adicionado";2012;4094259;6955532,84;3,98;109,97
"Brasil";"Valor Adicionado";2013;4553760;7304415,37;5,02;115,49
"Brasil";"Valor Adicionado";2014;4972734;7496152,82;2,62;118,52
"Brasil";"Valor Adicionado";2015;5155601;7022321,51;-6,32;111,03
"Brasil";"Valor Adicionado";2016;5419822;6945479,71;-1,09;109,81
"Brasil";"Valor Adicionado";2017;5671926;7060448,78;1,66;111,63
"Brasil";"Valor Adicionado";2018;6011150;7212564,47;2,15;114,04
"Brasil";"Valor Adicionado";2019;6356684;7312280,5;1,38;115,61
"Brasil";"Valor Adicionado";2020;6594937;7258452,47;-0,74;114,76
"Brasil";"Valor Adicionado";2021;7713999;7713999;6,28;121,96
"Brasil";"Remuneração";2010;1618190;3098788,61;NA;100
"Brasil";"Remuneração";2011;1846781;3320584,65;7,16;107,16
"Brasil";"Remuneração";2012;2058854;3497684,59;5,33;112,87
"Brasil";"Remuneração";2013;2305713;3698456,98;5,74;119,35
"Brasil";"Remuneração";2014;2515369;3791795,5;2,52;122,36
"Brasil";"Remuneração";2015;2672020;3639494,9;-4,02;117,45
"Brasil";"Remuneração";2016;2802436;3591310,26;-1,32;115,89
"Brasil";"Remuneração";2017;2920537;3635502,63;1,23;117,32
"Brasil";"Remuneração";2018;3055773;3666513,02;0,85;118,32
"Brasil";"Remuneração";2019;3217680;3701391,91;0,95;119,45
"Brasil";"Remuneração";2020;3192343;3513524,08;-5,08;113,38
"Brasil";"Remuneração";2021;3534648;3534648;0,6;114,07
"Brasil";"Salários";2010;1277285;2445965,06;NA;100
"Brasil";"Salários";2011;1453655;2613728,69;6,86;106,86
"Brasil";"Salários";2012;1626983;2764000,44;5,75;113
"Brasil";"Salários";2013;1822210;2922898,6;5,75;119,5
"Brasil";"Salários";2014;2000409;3015518,54;3,17;123,29
"Brasil";"Salários";2015;2126848;2896929,08;-3,93;118,44
"Brasil";"Salários";2016;2229292;2856828,57;-1,38;116,8
"Brasil";"Salários";2017;2312355;2878433,89;0,76;117,68
"Brasil";"Salários";2018;2422298;2906428,97;0,97;118,83
"Brasil";"Salários";2019;2539693;2921483,53;0,52;119,44
"Brasil";"Salários";2020;2531961;2786701,16;-4,61;113,93
"Brasil";"Salários";2021;2795014;2795014;0,3;114,27
"Brasil";"Contribuição social";2010;340905;652823,54;NA;100
"Brasil";"Contribuição social";2011;393126;706855,96;8,28;108,28
"Brasil";"Contribuição social";2012;431871;733684,15;3,8;112,39
"Brasil";"Contribuição social";2013;483503;775558,38;5,71;118,8
"Brasil";"Contribuição social";2014;514960;776276,96;0,09;118,91
"Brasil";"Contribuição social";2015;545172;742565,82;-4,34;113,75
"Brasil";"Contribuição social";2016;573144;734481,69;-1,09;112,51
"Brasil";"Contribuição social";2017;608182;757068,74;3,08;115,97
"Brasil";"Contribuição social";2018;633475;760084,06;0,4;116,43
"Brasil";"Contribuição social";2019;677987;779908,38;2,61;119,47
"Brasil";"Contribuição social";2020;660382;726822,92;-6,81;111,34
"Brasil";"Contribuição social";2021;739634;739634;1,76;113,3
"Brasil";"Impostos sobre a produção";2010;625895;1198571,43;NA;100
"Brasil";"Impostos sobre a produção";2011;697340;1253844,66;4,61;104,61
"Brasil";"Impostos sobre a produção";2012;765504;1300476,65;3,72;108,5
"Brasil";"Impostos sobre a produção";2013;827904,96;1327993,06;2,12;110,8
"Brasil";"Impostos sobre a produção";2014;862342,78;1299939,48;-2,11;108,46
"Brasil";"Impostos sobre a produção";2015;898935;1224417,98;-5,81;102,16
"Brasil";"Impostos sobre a produção";2016;910370;1166635,43;-4,72;97,34
"Brasil";"Impostos sobre a produção";2017;983389;1224128,75;4,93;102,13
"Brasil";"Impostos sobre a produção";2018;1077158;1292443,46;5,58;107,83
"Brasil";"Impostos sobre a produção";2019;1123518;1292415,79;0;107,83
"Brasil";"Impostos sobre a produção";2020;1101051;1211827,55;-6,24;101,11
"Brasil";"Impostos sobre a produção";2021;1399105;1399105;15,45;116,73
"Brasil";"Impostos sobre produto, líquidos de subsídios";2010;583007;1116442,11;NA;100
"Brasil";"Impostos sobre produto, líquidos de subsídios";2011;655921;1179371,68;5,64;105,64
"Brasil";"Impostos sobre produto, líquidos de subsídios";2012;720501;1224023,29;3,79;109,64
"Brasil";"Impostos sobre produto, líquidos de subsídios";2013;777858,96;1247717,25;1,94;111,76
"Brasil";"Impostos sobre produto, líquidos de subsídios";2014;806218,78;1215335,3;-2,6;108,86
"Brasil";"Impostos sobre produto, líquidos de subsídios";2015;840186;1144397,37;-5,84;102,5
"Brasil";"Impostos sobre produto, líquidos de subsídios";2016;849506;1088638,46;-4,87;97,51
"Brasil";"Impostos sobre produto, líquidos de subsídios";2017;913553;1137196,46;4,46;101,86
"Brasil";"Impostos sobre produto, líquidos de subsídios";2018;992991;1191454,48;4,77;106,72
"Brasil";"Impostos sobre produto, líquidos de subsídios";2019;1032447;1187654,14;-0,32;106,38
"Brasil";"Impostos sobre produto, líquidos de subsídios";2020;1014660;1116744,77;-5,97;100,03
"Brasil";"Impostos sobre produto, líquidos de subsídios";2021;1298143;1298143;16,24;116,27
"Brasil";"Outros impostos sobre a produção líquidos de subsídios";2010;42888;82129,32;NA;100
"Brasil";"Outros impostos sobre a produção líquidos de subsídios";2011;41419;74472,99;-9,32;90,68
"Brasil";"Outros impostos sobre a produção líquidos de subsídios";2012;45003;76453,36;2,66;93,09
"Brasil";"Outros impostos sobre a produção líquidos de subsídios";2013;50046;80275,81;5;97,74
"Brasil";"Outros impostos sobre a produção líquidos de subsídios";2014;56124;84604,18;5,39;103,01
"Brasil";"Outros impostos sobre a produção líquidos de subsídios";2015;58749;80020,62;-5,42;97,43
"Brasil";"Outros impostos sobre a produção líquidos de subsídios";2016;60864;77996,97;-2,53;94,97
"Brasil";"Outros impostos sobre a produção líquidos de subsídios";2017;69836;86932,29;11,46;105,85
"Brasil";"Outros impostos sobre a produção líquidos de subsídios";2018;84167;100988,98;16,17;122,96
"Brasil";"Outros impostos sobre a produção líquidos de subsídios";2019;91071;104761,65;3,74;127,56
"Brasil";"Outros impostos sobre a produção líquidos de subsídios";2020;86391;95082,78;-9,24;115,77
"Brasil";"Outros impostos sobre a produção líquidos de subsídios";2021;100962;100962;6,18;122,93
"Brasil";"Excedente Operacional Bruto (EOB) e Rendimento Misto (RM)";2010;1641762;3143928,33;NA;100
"Brasil";"Excedente Operacional Bruto (EOB) e Rendimento Misto (RM)";2011;1832261;3294477,12;4,79;104,79
"Brasil";"Excedente Operacional Bruto (EOB) e Rendimento Misto (RM)";2012;1990402;3381394,9;2,64;107,55
"Brasil";"Excedente Operacional Bruto (EOB) e Rendimento Misto (RM)";2013;2198001;3525682,58;4,27;112,14
"Brasil";"Excedente Operacional Bruto (EOB) e Rendimento Misto (RM)";2014;2401241;3619753,14;2,67;115,13
"Brasil";"Excedente Operacional Bruto (EOB) e Rendimento Misto (RM)";2015;2424832;3302806;-8,76;105,05
"Brasil";"Excedente Operacional Bruto (EOB) e Rendimento Misto (RM)";2016;2556522;3276172,48;-0,81;104,21
"Brasil";"Excedente Operacional Bruto (EOB) e Rendimento Misto (RM)";2017;2681553;3338013,86;1,89;106,17
"Brasil";"Excedente Operacional Bruto (EOB) e Rendimento Misto (RM)";2018;2871210;3445062,46;3,21;109,58
"Brasil";"Excedente Operacional Bruto (EOB) e Rendimento Misto (RM)";2019;3047933;3506126,94;1,77;111,52
"Brasil";"Excedente Operacional Bruto (EOB) e Rendimento Misto (RM)";2020;3316203;3649845,61;4,1;116,09
"Brasil";"Excedente Operacional Bruto (EOB) e Rendimento Misto (RM)";2021;4078389;4078389;11,74;129,72
"Brasil";"PIB - Ótica da Renda";2010;3885847;7441288,37;NA;100
"Brasil";"PIB - Ótica da Renda";2011;4376382;7868906,43;5,75;105,75
"Brasil";"PIB - Ótica da Renda";2012;4814760;8179556,13;3,95;109,92
"Brasil";"PIB - Ótica da Renda";2013;5331618,96;8552132,62;4,55;114,93
"Brasil";"PIB - Ótica da Renda";2014;5778952,78;8711488,12;1,86;117,07
