"Região";"Variável";"Ano";"Valor";"Valor corrigido";"Variação mensal";"Índice"
"Brasil";"Valor Adicionado";"2010";3302840;5746674,35;NA;100
"Brasil";"Valor Adicionado";"2011";3720461;6078025,65;5,76596618877492;105,765966188775
"Brasil";"Valor Adicionado";"2012";4094258,99999999;6319708,1;3,97633152469501;109,971571644737
"Brasil";"Valor Adicionado";"2013";4553760,00000005;6636698,3;5,01589938940377;115,487635035384
"Brasil";"Valor Adicionado";"2014";4972734,00000001;6810908,49;2,62495268166703;118,519130808239
"Brasil";"Valor Adicionado";"2015";5155601,00000001;6380391,43;-6,32099316313087;111,027544652848
"Brasil";"Valor Adicionado";"2016";5419821,99999999;6310573,95;-1,09425073314036;109,812624931496
"Brasil";"Valor Adicionado";"2017";5671926,00000003;6415033,38;1,65530791379127;111,630362002329
"Brasil";"Valor Adicionado";"2018";6011149,99999999;6553243,75;2,15447624062091;114,035411628989
"Brasil";"Valor Adicionado";"2019";6356683,99999998;6643844,46;1,38253227647758;115,611988001373
"Brasil";"Valor Adicionado";"2020";6594937;6594937;-0,736131923232897;114,760931250611
"Brasil";"Remuneração";"2010";1618190;2815519,66;NA;100
"Brasil";"Remuneração";"2011";1846781;3017040,71;7,15750818092316;107,157508180923
"Brasil";"Remuneração";"2012";2058854;3177951,45;5,33339637965973;112,872642842778
"Brasil";"Remuneração";"2013";2305713;3360370,67;5,74015125372667;119,351703266032
"Brasil";"Remuneração";"2014";2515369;3445176,86;2,5237153376297;122,363800507079
"Brasil";"Remuneração";"2015";2672020;3306798,47;-4,01658305576799;117,448956829518
"Brasil";"Remuneração";"2016";2802436;3263018,53;-1,32393734898518;115,894006224059
"Brasil";"Remuneração";"2017";2920537;3303171,15;1,23053607053836;117,320123774238
"Brasil";"Remuneração";"2018";3055773;3331346,8;0,852987893164414;118,320850226278
"Brasil";"Remuneração";"2019";3217680;3363037,31;0,951282226155503;119,446415444316
"Brasil";"Remuneração";"2020";3192343;3192343;-5,07559965191109;113,383793597804
"Brasil";"Salários";"2010";1277285;2222372,55;NA;100
"Brasil";"Salários";"2011";1453655;2374800,43;6,85879061996155;106,858790619962
"Brasil";"Salários";"2012";1626983;2511335,42;5,74932479694725;113,002449566793
"Brasil";"Salários";"2013";1822210;2655708,25;5,7488469620677;119,498787455776
"Brasil";"Salários";"2014";2000409;2739861,54;3,16877013881325;123,285429348918
"Brasil";"Salários";"2015";2126848;2632112,68;-3,93263887342278;118,437058629076
"Brasil";"Salários";"2016";2229292;2595677,87;-1,38424203024622;116,797603084145
"Brasil";"Salários";"2017";2312355;2615308,19;0,75626949810994;117,680907730794
"Brasil";"Salários";"2018";2422298;2640744,15;0,972579831977649;118,825448505472
"Brasil";"Salários";"2019";2539693;2654422,54;0,517974829178369;119,440934419389
"Brasil";"Salários";"2020";2531961;2531961;-4,61349081220506;113,930537883938
"Brasil";"Contribuição social";"2010";340905;593147,12;NA;100
"Brasil";"Contribuição social";"2011";393126;642240,28;8,27672567979425;108,276725679794
"Brasil";"Contribuição social";"2012";431871;666616,02;3,79542373144206;112,386286221874
"Brasil";"Contribuição social";"2013";483503;704662,42;5,70739359069108;118,800613918517
"Brasil";"Contribuição social";"2014";514960;705315,31;0,0926528762524415;118,910686104318
"Brasil";"Contribuição social";"2015";545172;674685,79;-4,34267051426971;113,74678680055
"Brasil";"Contribuição social";"2016";573144;667340,66;-1,08867418120663;112,5084549007
"Brasil";"Contribuição social";"2017";608182;687862,96;3,07523596718953;115,968355371935
"Brasil";"Contribuição social";"2018";633475;690602,64;0,39828863586433;116,430244152581
"Brasil";"Contribuição social";"2019";677987;708614,77;2,60817566524216;119,46694944755
"Brasil";"Contribuição social";"2020";660382;660382;-6,80662780991709;111,335278842794
"Brasil";"Impostos sobre a produção";"2010";625895;1089006,65;NA;100
"Brasil";"Impostos sobre a produção";"2011";697340;1139227,21;4,61159351047122;104,611593510471
"Brasil";"Impostos sobre a produção";"2012";765504;1181596,43;3,71911938444658;108,502223563098
"Brasil";"Impostos sobre a produção";"2013";827904,956646311;1206597,5;2,11587216796179;110,797991913089
"Brasil";"Impostos sobre a produção";"2014";862342,78;1181108,37;-2,11247992806216;108,457406573229
"Brasil";"Impostos sobre a produção";"2015";898934,999999999;1112490,51;-5,80961592880762;102,156447804979
"Brasil";"Impostos sobre a produção";"2016";910369,999999996;1059990,02;-4,71918542478174;97,3354956096917
"Brasil";"Impostos sobre a produção";"2017";983389,000000005;1112227,71;4,92813036107642;102,132315720937
"Brasil";"Impostos sobre a produção";"2018";1077158;1174297,58;5,58068005696424;107,831993496091
"Brasil";"Impostos sobre a produção";"2019";1123518;1174272,44;-0,0021408542798973;107,829684970243
"Brasil";"Impostos sobre a produção";"2020";1101051,00000108;1101051;-6,2354729197255;101,105994164498
"Brasil";"Impostos sobre produto, líquidos de subsídios";"2010";583007;1014385,01;NA;100
"Brasil";"Impostos sobre produto, líquidos de subsídios";"2011";655921;1071562,01;5,63661720513793;105,636617205138
"Brasil";"Impostos sobre produto, líquidos de subsídios";"2012";720501;1112131,89;3,7860506084944;109,636072993626
"Brasil";"Impostos sobre produto, líquidos de subsídios";"2013";777858,956646312;1133659,92;1,93574432974852;111,758347059959
"Brasil";"Impostos sobre produto, líquidos de subsídios";"2014";806218,78;1104238,1;-2,59529506873629;108,857888189811
"Brasil";"Impostos sobre produto, líquidos de subsídios";"2015";840185,999999998;1039784,8;-5,83690238545473;102,503959517304
"Brasil";"Impostos sobre produto, líquidos de subsídios";"2016";849505,999999996;989122,97;-4,87233800686451;97,5096201392014
"Brasil";"Impostos sobre produto, líquidos de subsídios";"2017";913553,000000005;1033242,15;4,46043427744884;101,8589726597
"Brasil";"Impostos sobre produto, líquidos de subsídios";"2018";992991,000000001;1082540,29;4,77120876263131;106,718876888766
"Brasil";"Impostos sobre produto, líquidos de subsídios";"2019";1032447;1079087,35;-0,318966419254474;106,378479508486
"Brasil";"Impostos sobre produto, líquidos de subsídios";"2020";1014660,00000108;1014660;-5,9705407537212;100,027109036243
"Brasil";"Outros impostos sobre a produção líquidos de subsídios";"2010";42888;74621,65;NA;100
"Brasil";"Outros impostos sobre a produção líquidos de subsídios";"2011";41419;67665,2;-9,32229453516505;90,6777054648349
"Brasil";"Outros impostos sobre a produção líquidos de subsídios";"2012";45003;69464,54;2,6591807901255;93,0889895894824
"Brasil";"Outros impostos sobre a produção líquidos de subsídios";"2013";50046;72937,57;4,99971640206645;97,7431750705057
"Brasil";"Outros impostos sobre a produção líquidos de subsídios";"2014";56124;76870,27;5,39187143196571;103,013361403829
"Brasil";"Outros impostos sobre a produção líquidos de subsídios";"2015";58749;72705,71;-5,41764716059928;97,4324609546961
"Brasil";"Outros impostos sobre a produção líquidos de subsídios";"2016";60864;70867,05;-2,52890728939997;94,968484347371
"Brasil";"Outros impostos sobre a produção líquidos de subsídios";"2017";69836;78985,56;11,4559728392814;105,848048120083
