Região,Variável,Ano,Valor,Valor corrigido,Variação anual,Índice
Brasil,Valor Adicionado,2010,3302840,5746674.35,NA,100
Brasil,Valor Adicionado,2011,3720461,6078025.65,5.77,105.77
Brasil,Valor Adicionado,2012,4094259,6319708.1,3.98,109.97
Brasil,Valor Adicionado,2013,4553760,6636698.3,5.02,115.49
Brasil,Valor Adicionado,2014,4972734,6810908.49,2.62,118.52
Brasil,Valor Adicionado,2015,5155601,6380391.43,-6.32,111.03
Brasil,Valor Adicionado,2016,5419822,6310573.95,-1.09,109.81
Brasil,Valor Adicionado,2017,5671926,6415033.38,1.66,111.63
Brasil,Valor Adicionado,2018,6011150,6553243.75,2.15,114.04
Brasil,Valor Adicionado,2019,6356684,6643844.46,1.38,115.61
Brasil,Valor Adicionado,2020,6594937,6594937,-0.74,114.76
Brasil,Remuneração,2010,1618190,2815519.66,NA,100
Brasil,Remuneração,2011,1846781,3017040.71,7.16,107.16
Brasil,Remuneração,2012,2058854,3177951.45,5.33,112.87
Brasil,Remuneração,2013,2305713,3360370.67,5.74,119.35
Brasil,Remuneração,2014,2515369,3445176.86,2.52,122.36
Brasil,Remuneração,2015,2672020,3306798.47,-4.02,117.45
Brasil,Remuneração,2016,2802436,3263018.53,-1.32,115.89
Brasil,Remuneração,2017,2920537,3303171.15,1.23,117.32
Brasil,Remuneração,2018,3055773,3331346.8,0.85,118.32
Brasil,Remuneração,2019,3217680,3363037.31,0.95,119.45
Brasil,Remuneração,2020,3192343,3192343,-5.08,113.38
Brasil,Salários,2010,1277285,2222372.55,NA,100
Brasil,Salários,2011,1453655,2374800.43,6.86,106.86
Brasil,Salários,2012,1626983,2511335.42,5.75,113
Brasil,Salários,2013,1822210,2655708.25,5.75,119.5
Brasil,Salários,2014,2000409,2739861.54,3.17,123.29
Brasil,Salários,2015,2126848,2632112.68,-3.93,118.44
Brasil,Salários,2016,2229292,2595677.87,-1.38,116.8
Brasil,Salários,2017,2312355,2615308.19,0.76,117.68
Brasil,Salários,2018,2422298,2640744.15,0.97,118.83
