"Região","Variável","Ano","Valor","Valor corrigido","Variação anual","Índice"
"Acre","01 - Legislativa",2018,214383120.7,272111692.11,NA,100
"Acre","01 - Legislativa",2019,194213794.55,236334304.81,-13.15,86.85
"Acre","01 - Legislativa",2020,229176361.3,266825712.55,12.9,98.06
"Acre","01 - Legislativa",2021,243181849.51,257250145.44,-3.59,94.54
"Acre","01 - Legislativa",2022,284149017.59,284149017.59,10.46,104.42
"Acre","01.031 - Ação Legislativa",2018,152401598.23,193439934.26,NA,100
"Acre","01.031 - Ação Legislativa",2019,131717981.64,160284585.83,-17.14,82.86
"Acre","01.031 - Ação Legislativa",2020,164286761.28,191275975.81,19.34,98.88
"Acre","01.031 - Ação Legislativa",2021,177330872.82,187589628.57,-1.93,96.98
"Acre","01.031 - Ação Legislativa",2022,204085571.36,204085571.36,8.79,105.5
"Acre","01.032 - Controle Externo",2018,61981522.47,78671757.85,NA,100
"Acre","01.032 - Controle Externo",2019,62495812.91,76049718.98,-3.33,96.67
"Acre","01.032 - Controle Externo",2020,64889600.02,75549736.74,-0.66,96.03
"Acre","01.032 - Controle Externo",2021,65850976.69,69660516.87,-7.8,88.55
"Acre","01.032 - Controle Externo",2022,80061388.23,80061388.23,14.93,101.77
"Acre","02 - Judiciária",2018,250264389.95,317654983.29,NA,100
"Acre","02 - Judiciária",2019,248088816.81,301893581.7,-4.96,95.04
"Acre","02 - Judiciária",2020,241894905.51,281633673.55,-6.71,88.66
"Acre","02 - Judiciária",2021,243871837.79,257980050.18,-8.4,81.21
"Acre","02 - Judiciária",2022,279474200.83,279474200.83,8.33,87.98
"Acre","02.061 - Ação Judiciária",2018,24073205.67,30555580.63,NA,100
"Acre","02.061 - Ação Judiciária",2019,20666471.45,25148554.33,-17.7,82.3
"Acre","02.061 - Ação Judiciária",2020,17063605.97,19866834.41,-21,65.02
"Acre","02.061 - Ação Judiciária",2021,17219452.14,18215613.44,-8.31,59.61
"Acre","02.061 - Ação Judiciária",2022,23015355.42,23015355.42,26.35,75.32
"Acre","02.122 - Administração Geral",2018,225804794.76,286608967.11,NA,100
"Acre","02.122 - Administração Geral",2019,227066151.53,276311583.28,-3.59,96.41
"Acre","02.122 - Administração Geral",2020,224727141.71,261645570.14,-5.31,91.29
"Acre","02.122 - Administração Geral",2021,226490965.13,239593677.89,-8.43,83.6
"Acre","02.122 - Administração Geral",2022,256239659.98,256239659.98,6.95,89.4
"Acre","03 - Essencial à Justiça",2018,192416011.31,244229332.31,NA,100
"Acre","03 - Essencial à Justiça",2019,208256269.96,253422270.53,3.76,103.76
"Acre","03 - Essencial à Justiça",2020,216898562.12,252530902.66,-0.35,103.4
"Acre","03 - Essencial à Justiça",2021,236422309.32,250099559.57,-0.96,102.4
"Acre","03 - Essencial à Justiça",2022,263761534.21,263761534.21,5.46,108
"Acre","03.091 - Defesa da Ordem Jurídica",2018,131108389.71,166412941.73,NA,100
"Acre","03.091 - Defesa da Ordem Jurídica",2019,141026663.65,171612107.11,3.12,103.12
"Acre","03.091 - Defesa da Ordem Jurídica",2020,148759289.42,173197633.35,0.92,104.08
"Acre","03.091 - Defesa da Ordem Jurídica",2021,156496364.55,165549824.64,-4.42,99.48
"Acre","03.091 - Defesa da Ordem Jurídica",2022,168971810.09,168971810.09,2.07,101.54
"Acre","03.092 - Representação Judicial e Extrajudicial",2018,27519672.55,34930103.82,NA,100
"Acre","03.092 - Representação Judicial e Extrajudicial",2019,29565609.15,35977710.55,3,103
"Acre","03.092 - Representação Judicial e Extrajudicial",2020,30530725.7,35546347.77,-1.2,101.76
"Acre","03.092 - Representação Judicial e Extrajudicial",2021,31685258.22,33518279.85,-5.71,95.96
"Acre","03.092 - Representação Judicial e Extrajudicial",2022,92152911.73,92152911.73,174.93,263.82
"Acre","03.122 - Administração Geral",2018,33412708.1,42410001.82,NA,100
"Acre","03.122 - Administração Geral",2019,37471550.42,45598268.85,7.52,107.52
"Acre","03.122 - Administração Geral",2020,37435748.38,43585735.37,-4.41,102.77
"Acre","03.122 - Administração Geral",2021,48048867.47,50828539.09,16.62,119.85
"Acre","04 - Administração",2018,295045331.41,374494429.02,NA,100
"Acre","04 - Administração",2019,241763919.36,294196959.3,-21.44,78.56
"Acre","04 - Administração",2020,239706208.2,279085414.58,-5.14,74.52
"Acre","04 - Administração",2021,282209050.28,298535106.03,6.97,79.72
"Acre","04 - Administração",2022,332368664.54,332368664.54,11.33,88.75
"Acre","04.121 - Planejamento e Orçamento",2018,290953.8,369301.14,NA,100
"Acre","04.121 - Planejamento e Orçamento",2019,4461974.82,5429674.65,1370.26,1470.26
"Acre","04.121 - Planejamento e Orçamento",2021,4000,4231.4,-99.92,1.15
"Acre","04.121 - Planejamento e Orçamento",2022,67274284.33,67274284.33,1589781.01,18216.65
"Acre","04.122 - Administração Geral",2018,188419666.15,239156860.93,NA,100
"Acre","04.122 - Administração Geral",2019,137065737.79,166792147.43,-30.26,69.74
"Acre","04.122 - Administração Geral",2020,235748457.22,274477479.8,64.56,114.77
"Acre","04.122 - Administração Geral",2021,270165192.86,285794500.27,4.12,119.5
"Acre","04.122 - Administração Geral",2022,126989777.81,126989777.81,-55.57,53.1
