"Região","Variável","Ano","Valor","Valor corrigido","Variação anual","Índice"
"Acre","Despesas Empenhadas",2018,6589320706.64,8363677147.17,NA,100
"Acre","Despesas Empenhadas",2019,6379221483.93,7762728070.47,-7.18522566241503,92.814774337585
"Acre","Despesas Empenhadas",2020,6881997454.84,8012579762.65,3.21860678245904,95.8021169595385
"Acre","Despesas Empenhadas",2021,7878060958.75,8333814104.55,4.00912504356472,99.6429436228286
"Acre","Despesas Empenhadas",2022,9720307822.87,9720307822.87,16.6369647909835,116.220505070058
"Acre","Despesas Liquidadas",2018,6514741544.95,8269015488.1,NA,100
"Acre","Despesas Liquidadas",2019,6209488032.91,7556183333.3,-8.62052025208856,91.3794797479114
"Acre","Despesas Liquidadas",2020,6535069634.08,7608658248.01,0.694463228264253,92.0140766329399
"Acre","Despesas Liquidadas",2021,7517578299.53,7952477188.58,4.51878543315996,96.1719953242858
"Acre","Despesas Liquidadas",2022,9392292744.5,9392292744.5,18.1052459727595,113.584171634659
"Acre","Despesas Pagas",2018,6457390743.51,8196221400.71,NA,100
"Acre","Despesas Pagas",2019,6136233739.09,7467041866.06,-8.8965329143846,91.1034670856154
"Acre","Despesas Pagas",2020,6474183121.31,7537769230.22,0.947193887869813,91.9663935574878
"Acre","Despesas Pagas",2021,7464289316.46,7896105388.33,4.75387541281282,96.3383613288679
"Acre","Despesas Pagas",2022,9266488967.92,9266488967.92,17.3551835011644,113.058060719508
"Acre","Inscrição de Restos a Pagar Não Processados",2018,74579161.69,94661659.08,NA,100
"Acre","Inscrição de Restos a Pagar Não Processados",2019,169733451.02,206544737.17,118.19260213414,218.19260213414
"Acre","Inscrição de Restos a Pagar Não Processados",2020,346927820.76,403921514.64,95.5612717004481,426.700227489822
"Acre","Inscrição de Restos a Pagar Não Processados",2021,360482659.22,381336915.97,-5.59133342776473,402.841995033836
"Acre","Inscrição de Restos a Pagar Não Processados",2022,328015078.37,328015078.37,-13.9828680012178,346.513130614782
"Acre","Inscrição de Restos a Pagar Processados",2018,57350801.44,72794087.39,NA,100
"Acre","Inscrição de Restos a Pagar Processados",2019,73254293.82,89141467.24,22.4570159969417,122.457015996942
"Acre","Inscrição de Restos a Pagar Processados",2020,60886512.77,70889017.79,-20.4758234468567,97.3829336031188
"Acre","Inscrição de Restos a Pagar Processados",2021,53288983.07,56371800.25,-20.4787962826703,77.4400810164481
"Acre","Inscrição de Restos a Pagar Processados",2022,125803776.58,125803776.58,123.167924426895,172.821421478913
"Alagoas","Despesas Empenhadas",2018,10398455487.5,13198526585.46,NA,100
"Alagoas","Despesas Empenhadas",2019,9307829892.01,11326484361.74,-14.1837212782699,85.8162787217301
"Alagoas","Despesas Empenhadas",2020,10411625968,12122059630.93,7.02402655388281,91.8440369266985
"Alagoas","Despesas Empenhadas",2021,14620851573.38,15466681420.82,27.5912006022148,117.184909396316
"Alagoas","Despesas Empenhadas",2022,15925126198.48,15925126198.48,2.9640797866495,120.658363608736
"Alagoas","Despesas Liquidadas",2018,10268811637.33,13033972550.95,NA,100
"Alagoas","Despesas Liquidadas",2019,9075507852.73,11043777009.4,-15.2692936383769,84.7307063616231
"Alagoas","Despesas Liquidadas",2020,10016320782.53,11661813263.52,5.59623988780247,89.472439948249
"Alagoas","Despesas Liquidadas",2021,12623154038.98,13353415228.04,14.5054797765593,102.450846630536
"Alagoas","Despesas Liquidadas",2022,15768956981.65,15768956981.65,18.0893180685174,120.983506141423
"Alagoas","Despesas Pagas",2018,9688405889.55,12297276538.59,NA,100
"Alagoas","Despesas Pagas",2019,8515934617.48,10362845194.81,-15.730567152081,84.269432847919
"Alagoas","Despesas Pagas",2020,9694061627.1,11286613010.38,8.9142296174862,91.7814035893359
"Alagoas","Despesas Pagas",2021,12078996287.46,12777777445.03,13.211797314913,103.907376604341
"Alagoas","Despesas Pagas",2022,14974112715.49,14974112715.49,17.1887112599091,121.767715546608
"Alagoas","Inscrição de Restos a Pagar Não Processados",2018,129643850.17,164554034.51,NA,100
"Alagoas","Inscrição de Restos a Pagar Não Processados",2019,232322039.28,282707352.34,71.8021397541728,171.802139754173
"Alagoas","Inscrição de Restos a Pagar Não Processados",2020,395305185.47,460246367.42,62.799574758311,279.693152945473
"Alagoas","Inscrição de Restos a Pagar Não Processados",2021,1997697534.4,2113266192.78,359.159776670552,1284.23845642726
"Alagoas","Inscrição de Restos a Pagar Não Processados",2022,156169216.83,156169216.83,-92.6100546460472,94.9045201444208
"Alagoas","Inscrição de Restos a Pagar Processados",2018,580405747.78,736696012.37,NA,100
"Alagoas","Inscrição de Restos a Pagar Processados",2019,559573235.25,680931814.6,-7.56949906523898,92.430500934761
"Alagoas","Inscrição de Restos a Pagar Processados",2020,322259155.43,375200253.13,-44.8989979488028,50.9301322159945
"Alagoas","Inscrição de Restos a Pagar Processados",2021,544157751.52,575637783.01,53.4214804515476,78.1377628417093
"Alagoas","Inscrição de Restos a Pagar Processados",2022,794844266.16,794844266.16,38.0806280650608,107.89311368782
"Amapá","Despesas Empenhadas",2018,4661309648.16,5916495905.4,NA,100
"Amapá","Despesas Empenhadas",2019,5149851097.36,6266735490.04,5.91971312479631,105.919713124796
"Amapá","Despesas Empenhadas",2020,5406817755.01,6295055877.08,0.451916106639749,106.398381368514
"Amapá","Despesas Empenhadas",2021,5954255292.83,6298714493.49,0.0581188869716032,106.460218923521
"Amapá","Despesas Empenhadas",2022,7431120842.48,7431120842.48,17.9783724148855,125.600033555294
"Amapá","Despesas Liquidadas",2018,4371912779.37,5549170943.43,NA,100
"Amapá","Despesas Liquidadas",2019,4923098975.65,5990806042.44,7.95857802025144,107.958578020251
"Amapá","Despesas Liquidadas",2020,5006895469.5,5829433907.22,-2.69366315779227,105.050537578443
"Amapá","Despesas Liquidadas",2021,5496631622.61,5814616868.78,-0.25417628325195,104.78352402649
"Amapá","Despesas Liquidadas",2022,6909530321.47,6909530321.47,18.8303628149404,124.514641770959
"Amapá","Despesas Pagas",2018,3264532538.64,4143598013.39,NA,100
"Amapá","Despesas Pagas",2019,4013146932.2,4883506305.58,17.8566620072457,117.856662007246
"Amapá","Despesas Pagas",2020,4315966777.78,5024998670.35,2.89735194174578,121.271384292389
"Amapá","Despesas Pagas",2021,5020654554.86,5311104085.44,5.69364160787074,128.176142286902
"Amapá","Despesas Pagas",2022,6339366213.78,6339366213.78,19.3606096171021,152.99182481733
"Amapá","Inscrição de Restos a Pagar Não Processados",2018,289396868.79,367324961.97,NA,100
"Amapá","Inscrição de Restos a Pagar Não Processados",2019,226752121.71,275929447.61,-24.8813785673146,75.1186214326854
"Amapá","Inscrição de Restos a Pagar Não Processados",2020,399922285.51,465621969.86,68.7467480883419,126.760230876449
"Amapá","Inscrição de Restos a Pagar Não Processados",2021,457623670.22,484097624.71,3.96795169599817,131.790015607362
"Amapá","Inscrição de Restos a Pagar Não Processados",2022,521590521.01,521590521.01,7.7449039999856,141.997025797718
"Amapá","Inscrição de Restos a Pagar Processados",2018,601379702.71,763317783.46,NA,100
"Amapá","Inscrição de Restos a Pagar Processados",2019,909952043.45,1107299736.85,45.0640559991651,145.064055999165
"Amapá","Inscrição de Restos a Pagar Processados",2020,690928691.72,804435236.87,-27.3516275585485,105.386675680949
"Amapá","Inscrição de Restos a Pagar Processados",2021,475977067.75,503512783.34,-37.4079154837707,65.9637171110642
"Amapá","Inscrição de Restos a Pagar Processados",2022,570164107.69,570164107.69,13.2372655780208,74.6955095301901
"Amazonas","Despesas Empenhadas",2018,17630658179.52,22378199433.69,NA,100
"Amazonas","Despesas Empenhadas",2019,19301353338.6,23487373457.24,4.9564936036818,104.956493603682
