"Região","Variável","Ano","Valor","Valor corrigido","Variação anual","Índice"
"Acre","3.0.00.00.00 - Despesas Correntes",2018,5873997192.69,7455733036.88,NA,100
"Acre","3.0.00.00.00 - Despesas Correntes",2019,5789225160.34,7044775098.6,-5.51,94.49
"Acre","3.0.00.00.00 - Despesas Correntes",2020,6087576097.34,7087649968.08,0.61,95.06
"Acre","3.0.00.00.00 - Despesas Correntes",2021,6812732999.84,7206855933.45,1.68,96.66
"Acre","3.0.00.00.00 - Despesas Correntes",2022,8204121221.59,8204121221.59,13.84,110.04
"Acre","3.1.00.00.00 - Pessoal e Encargos Sociais",2018,4017497467.61,5099319528.46,NA,100
"Acre","3.1.00.00.00 - Pessoal e Encargos Sociais",2019,3910263788.61,4758310171.74,-6.69,93.31
"Acre","3.1.00.00.00 - Pessoal e Encargos Sociais",2020,4099963067.2,4773509626.45,0.32,93.61
"Acre","3.1.00.00.00 - Pessoal e Encargos Sociais",2021,4444191717.01,4701292336.84,-1.51,92.19
"Acre","3.1.00.00.00 - Pessoal e Encargos Sociais",2022,4891350114.82,4891350114.82,4.04,95.92
"Acre","3.1.20.00.00 - Transferências à União",2018,15180.88,18215,NA,100
"Acre","3.1.20.00.00 - Transferências à União",2019,4738.36,5450.67,-70.08,29.92
"Acre","3.1.40.00.00 - Transferências a Municípios",2018,99598.83,108580.79,NA,100
"Acre","3.1.40.00.00 - Transferências a Municípios",2019,99606.65,104106.34,-4.12,95.88
"Acre","3.1.40.00.00 - Transferências a Municípios",2020,87168.06,87168.06,-16.27,80.28
"Acre","3.1.40.00.00 - Transferências a Municípios",2021,94725.07,86065.99,-1.26,79.26
"Acre","3.1.40.00.00 - Transferências a Municípios",2022,108015.88,92774.74,7.79,85.44
"Acre","3.1.71.00.00 - Transferências a Consórcios Públicos mediante contrato de rateio",2019,48875,59474.86,NA,100
"Acre","3.1.71.00.00 - Transferências a Consórcios Públicos mediante contrato de rateio",2020,208288.5,242506.37,307.75,407.75
"Acre","3.1.71.00.00 - Transferências a Consórcios Públicos mediante contrato de rateio",2021,212550,224846.21,-7.28,378.05
"Acre","3.1.71.00.00 - Transferências a Consórcios Públicos mediante contrato de rateio",2022,230900,230900,2.69,388.23
"Acre","3.1.90.00.00 - Aplicações Diretas",2018,3447735125.23,4376132952.12,NA,100
"Acre","3.1.90.00.00 - Aplicações Diretas",2019,3719430663.49,4526089725.9,3.43,103.43
"Acre","3.1.90.00.00 - Aplicações Diretas",2020,3893473698.63,4533097951.4,0.15,103.59
"Acre","3.1.90.00.00 - Aplicações Diretas",2021,4202853415.41,4445992390.27,-1.92,101.6
