"Região","Variável","Ano","Valor","Valor corrigido","Variação anual","Índice"
"Acre","1.0.0.0.00.0.0 - Receitas Correntes",2018,6366829458.4,6366829458.4,NA,100
"Acre","1.0.0.0.00.0.0 - Receitas Correntes",2019,6950993087.65,6664029858.15,4.66794974942972,104.66794974943
"Acre","1.0.0.0.00.0.0 - Receitas Correntes",2020,7216228795.09,6619291973.43,-0.671333797601248,103.965278427506
"Acre","1.0.0.0.00.0.0 - Receitas Correntes",2021,8600597956.81,7167975363.64,8.28915528144745,112.583121795151
"Acre","1.0.0.0.00.0.0 - Receitas Correntes",2022,10292080159.1,8108612481.49,13.1227727514444,127.35714902481
"Acre","1.1.0.0.00.0.0 - Impostos, Taxas e Contribuições de Melhoria",2018,1832159416.91,1832159416.91,NA,100
"Acre","1.1.0.0.00.0.0 - Impostos, Taxas e Contribuições de Melhoria",2019,1881139041.35,1803478521.82,-1.56541482281992,98.4345851771801
"Acre","1.1.0.0.00.0.0 - Impostos, Taxas e Contribuições de Melhoria",2020,1884042632.02,1728191916.56,-4.17452186699866,94.3254118942693
"Acre","1.1.0.0.00.0.0 - Impostos, Taxas e Contribuições de Melhoria",2021,2333991422.61,1945212774.77,12.5576827509982,106.170497873524
"Acre","1.1.0.0.00.0.0 - Impostos, Taxas e Contribuições de Melhoria",2022,2574582805.97,2028384345.28,4.27570554690779,110.710035740282
"Acre","1.1.1.0.00.0.0 - Impostos",2018,1815417510.49,1815417510.49,NA,100
"Acre","1.1.1.0.00.0.0 - Impostos",2019,1862428183.55,1785540118.85,-1.64575870108997,98.35424129891
"Acre","1.1.1.0.00.0.0 - Impostos",2020,1862947071.27,1708841410.93,-4.29554660297404,94.1293890279138
"Acre","1.1.1.0.00.0.0 - Impostos",2021,2247630724.54,1873237388.95,9.62031801011487,103.184935593377
"Acre","1.1.1.0.00.0.0 - Impostos",2022,2451697728.62,1931569371.38,3.11396637575641,106.398079792601
"Acre","1.1.1.2.00.0.0 - Impostos sobre o Patrimônio",2022,128152754.5,100965111.87,NA,100
"Acre","1.1.1.2.51.0.0 - Imposto sobre a Propriedade de Veículos Automotores",2022,116069464.73,91445295.4,NA,100
"Acre","1.1.1.2.52.0.0 - Imposto sobre Transmissão -Causa Mortis¿ e Doação de Bens e Direitos",2022,12083289.77,9519816.47,NA,100
"Acre","1.1.1.3.00.0.0 - Impostos sobre a Renda e Proventos de Qualquer Natureza",2018,330027699.67,330027699.67,NA,100
"Acre","1.1.1.3.00.0.0 - Impostos sobre a Renda e Proventos de Qualquer Natureza",2019,371969086.01,356612798.23,8.05541431418721,108.055414314187
"Acre","1.1.1.3.00.0.0 - Impostos sobre a Renda e Proventos de Qualquer Natureza",2020,408169350.69,374404995.12,4.98921995461441,113.446536607192
"Acre","1.1.1.3.00.0.0 - Impostos sobre a Renda e Proventos de Qualquer Natureza",2021,465574452.39,388022579.53,3.6371267978504,117.572730991365
"Acre","1.1.1.3.00.0.0 - Impostos sobre a Renda e Proventos de Qualquer Natureza",2022,532509920.32,419537792.14,8.12200481945495,127.121993868849
"Acre","1.1.1.3.01.0.0 - Imposto sobre a Renda de Pessoa Física - IRPF",2019,371969086.01,356612798.23,NA,100
"Acre","1.1.1.3.03.0.0 - Imposto sobre a Renda - Retido na Fonte",2018,330027699.67,330027699.67,NA,100
"Acre","1.1.1.3.03.0.0 - Imposto sobre a Renda - Retido na Fonte",2020,408169350.69,374404995.12,13.4465366071919,113.446536607192
"Acre","1.1.1.3.03.0.0 - Imposto sobre a Renda - Retido na Fonte",2021,465574452.39,388022579.53,3.6371267978504,117.572730991365
"Acre","1.1.1.3.03.0.0 - Imposto sobre a Renda - Retido na Fonte",2022,532509920.32,419537792.14,8.12200481945495,127.121993868849
"Acre","1.1.1.3.03.1.0 - Imposto sobre a Renda - Retido na Fonte - Trabalho",2018,330027699.67,330027699.67,NA,100
"Acre","1.1.1.3.03.1.0 - Imposto sobre a Renda - Retido na Fonte - Trabalho",2020,408169350.69,374404995.12,13.4465366071919,113.446536607192
"Acre","1.1.1.3.03.1.0 - Imposto sobre a Renda - Retido na Fonte - Trabalho",2021,465574452.39,388022579.53,3.6371267978504,117.572730991365
"Acre","1.1.1.3.03.1.0 - Imposto sobre a Renda - Retido na Fonte - Trabalho",2022,513842090.47,404830347.6,4.33164690837291,122.665566558442
"Acre","1.1.1.3.03.4.0 - Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos",2022,18667829.85,14707444.54,NA,100
"Acre","1.1.1.4.00.0.0 - Impostos sobre a Produção e Circulação de Mercadorias e Serviços",2022,1791035053.8,1411066467.37,NA,100
"Acre","1.1.1.4.50.0.0 - Impostos sobre a Produção e Circulação de Mercadorias e Serviços",2022,1791035053.8,1411066467.37,NA,100
"Acre","1.1.1.4.50.1.0 - Imposto sobre Operações Relativas à Circulação de Mercadorias e sobre Prestações de Serviços de Transporte Interestadual e Intermunicipal e de Comunicação",2022,1791035053.8,1411066467.37,NA,100
"Acre","1.1.1.8.00.0.0 - Impostos Específicos de Estados, DF e Municípios",2021,1782056272.15,1485214809.43,NA,100
"Acre","1.1.1.8.00.0.0 Impostos Específicos de Estados, DF e Municípios",2018,1485389810.82,1485389810.82,NA,100
"Acre","1.1.1.8.00.0.0 Impostos Específicos de Estados, DF e Municípios",2019,1490459097.54,1428927320.62,-3.80119008415915,96.1988099158409
"Acre","1.1.1.8.00.0.0 Impostos Específicos de Estados, DF e Municípios",2020,1454777720.58,1334436415.81,-6.61271594758235,89.8374558711516
"Acre","1.1.1.8.01.0.0 - Impostos sobre o Patrimônio para Estados/DF/Municípios",2021,82654864.75,68886842.19,NA,100
"Acre","1.1.1.8.01.0.0 Impostos sobre o Patrimônio para Estados/DF/Municípios",2018,72295665.54,72295665.54,NA,100
"Acre","1.1.1.8.01.0.0 Impostos sobre o Patrimônio para Estados/DF/Municípios",2019,77411220.27,74215392.93,2.65538379882242,102.655383798822
"Acre","1.1.1.8.01.0.0 Impostos sobre o Patrimônio para Estados/DF/Municípios",2020,80366529.76,73718494.86,-0.669535052477166,101.968070021034
"Acre","1.1.1.8.01.2.0 - Imposto sobre a Propriedade de Veículos Automotores",2021,75771859.72,63150356.11,NA,100
"Acre","1.1.1.8.01.2.0 Imposto sobre a Propriedade de Veículos Automotores",2018,68027725.7,68027725.7,NA,100
"Acre","1.1.1.8.01.2.0 Imposto sobre a Propriedade de Veículos Automotores",2019,72865807.61,69857632.06,2.6899419922839,102.689941992284
"Acre","1.1.1.8.01.2.0 Imposto sobre a Propriedade de Veículos Automotores",2020,76012647.19,69724771.72,-0.190187293903532,102.494638770498
"Acre","1.1.1.8.01.3.0 - Imposto sobre Transmissão -Causa Mortis¿ e Doação de Bens e Direitos",2021,6883005.03,5736486.08,NA,100
"Acre","1.1.1.8.01.3.0 Imposto sobre Transmissão -Causa Mortis¿ e Doação de Bens e Direitos",2018,4267939.84,4267939.84,NA,100
"Acre","1.1.1.8.01.3.0 Imposto sobre Transmissão -Causa Mortis¿ e Doação de Bens e Direitos",2019,4545412.66,4357760.87,2.10455239219118,102.104552392191
"Acre","1.1.1.8.01.3.0 Imposto sobre Transmissão -Causa Mortis¿ e Doação de Bens e Direitos",2020,4353882.57,3993723.14,-8.35377940322824,93.5749633246939
"Acre","1.1.1.8.02.0.0 - Impostos sobre a Produção, Circulação de Mercadorias e Serviços",2021,1699401407.4,1416327967.24,NA,100
"Acre","1.1.1.8.02.0.0 Impostos sobre a Produção, Circulação de Mercadorias e Serviços",2018,1413094145.28,1413094145.28,NA,100
"Acre","1.1.1.8.02.0.0 Impostos sobre a Produção, Circulação de Mercadorias e Serviços",2019,1413047877.27,1354711927.69,-4.13151648706546,95.8684835129345
"Acre","1.1.1.8.02.0.0 Impostos sobre a Produção, Circulação de Mercadorias e Serviços",2020,1374411190.82,1260717920.94,-6.93830214592372,89.2168384640921
"Acre","1.1.1.8.02.1.0 - Imposto sobre Operações Relativas à Circulação de Mercadorias e sobre Prestações de Serviços de Transporte Interestadual e Intermunicipal e de Comunicação",2021,1699401407.4,1416327967.24,NA,100
"Acre","1.1.1.8.02.1.0 Imposto sobre Operações Relativas à Circulação de Mercadorias e sobre Prestações de Serviços de Transporte Interestadual e Intermunicipal e de Comunicação",2018,1413094145.28,1413094145.28,NA,100
"Acre","1.1.1.8.02.1.0 Imposto sobre Operações Relativas à Circulação de Mercadorias e sobre Prestações de Serviços de Transporte Interestadual e Intermunicipal e de Comunicação",2019,1413047877.27,1354711927.69,-4.13151648706546,95.8684835129345
"Acre","1.1.1.8.02.1.0 Imposto sobre Operações Relativas à Circulação de Mercadorias e sobre Prestações de Serviços de Transporte Interestadual e Intermunicipal e de Comunicação",2020,1374411190.82,1260717920.94,-6.93830214592372,89.2168384640921
"Acre","1.1.2.0.00.0.0 - Taxas",2018,16741906.42,16741906.42,NA,100
"Acre","1.1.2.0.00.0.0 - Taxas",2019,18710857.8,17938402.97,7.14671626984282,107.146716269843
"Acre","1.1.2.0.00.0.0 - Taxas",2020,21095560.75,19350505.63,7.87195305157091,115.581255470905
"Acre","1.1.2.0.00.0.0 - Taxas",2021,86360698.07,71975385.81,271.95609864795,429.911528617898
"Acre","1.1.2.0.00.0.0 - Taxas",2022,122885077.35,96814973.9,34.5112260399289,578.279268030934
"Acre","1.1.2.1.00.0.0 - Taxas pelo Exercício do Poder de Polícia",2018,2527706.88,2527706.88,NA,100
"Acre","1.1.2.1.00.0.0 - Taxas pelo Exercício do Poder de Polícia",2019,4234268.57,4059461.98,60.5986046926454,160.598604692645
"Acre","1.1.2.1.00.0.0 - Taxas pelo Exercício do Poder de Polícia",2020,3167226.09,2905228.59,-28.4331617265202,114.935343689851
"Acre","1.1.2.1.00.0.0 - Taxas pelo Exercício do Poder de Polícia",2021,4519435.71,3766622.27,29.6497729288834,149.013412108923
"Acre","1.1.2.1.00.0.0 - Taxas pelo Exercício do Poder de Polícia",2022,5465916.65,4306320.91,14.3284513634015,170.364726387895
"Acre","1.1.2.1.01.0.0 - Taxas de Inspeção, Controle e Fiscalização",2018,1831932.19,1831932.19,NA,100
"Acre","1.1.2.1.01.0.0 - Taxas de Inspeção, Controle e Fiscalização",2019,3124018.81,2995047.52,63.4911781314351,163.491178131435
"Acre","1.1.2.1.01.0.0 - Taxas de Inspeção, Controle e Fiscalização",2020,1882945.03,1727185.11,-42.3319630668164,94.282152987333
"Acre","1.1.2.1.01.0.0 - Taxas de Inspeção, Controle e Fiscalização",2021,3040097.12,2533700.72,46.6953776598966,138.30756039065
"Acre","1.1.2.1.01.0.0 - Taxas de Inspeção, Controle e Fiscalização",2022,4079318.02,3213889.56,26.8456662869007,175.437146502677
"Acre","1.1.2.1.04.0.0 - Taxa de Controle e Fiscalização Ambiental",2018,695774.69,695774.69,NA,100
