"Região","Variável","Ano","Valor","Valor corrigido","Variação anual","Índice"
"Acre","Deduções - FUNDEB",2018,838490088.78,1064276684.33,NA,100
"Acre","Deduções - FUNDEB",2019,899746257.51,1094880550.4,2.88,102.88
"Acre","Deduções - FUNDEB",2020,863941822.44,1005871159.94,-8.13,94.51
"Acre","Deduções - FUNDEB",2021,1148021827.32,1214435956.63,20.73,114.11
"Acre","Deduções - FUNDEB",2022,1393948222.07,1393948222.07,14.78,130.98
"Acre","Outras Deduções da Receita",2018,9730.71,12350.97,NA,100
"Acre","Outras Deduções da Receita",2021,19161455.25,20269963.24,164016.34,164116.34
"Acre","Outras Deduções da Receita",2022,36340546.06,36340546.06,79.28,294232.27
"Acre","Receitas Brutas Realizadas",2018,7380406325.39,9367784399.74,NA,100
"Acre","Receitas Brutas Realizadas",2019,7410386685,9017529314.13,-3.74,96.26
"Acre","Receitas Brutas Realizadas",2020,7890914201.97,9187242491.5,1.88,98.07
"Acre","Receitas Brutas Realizadas",2021,9096647758.47,9622897282.8,4.74,102.72
"Acre","Receitas Brutas Realizadas",2022,10899339134.09,10899339134.09,13.26,116.35
"Alagoas","Deduções - FUNDEB",2018,1389711545.1,1763929729.39,NA,100
"Alagoas","Deduções - FUNDEB",2019,1497652124.48,1822458463.9,3.32,103.32
"Alagoas","Deduções - FUNDEB",2020,1481108697.34,1724426905.48,-5.38,97.76
"Alagoas","Deduções - FUNDEB",2021,2020094150.03,2136958473.44,23.92,121.15
"Alagoas","Deduções - FUNDEB",2022,2372051238,2372051238,11,134.48
"Alagoas","Deduções - Transferências Constitucionais",2018,1167703311.41,1482139652.19,NA,100
"Alagoas","Deduções - Transferências Constitucionais",2019,1233080174.59,1500506936.24,1.24,101.24
"Alagoas","Deduções - Transferências Constitucionais",2020,1282269194.74,1492921825.02,-0.51,100.73
"Alagoas","Deduções - Transferências Constitucionais",2021,1556803728.82,1646866270.93,10.31,111.11
"Alagoas","Deduções - Transferências Constitucionais",2022,1820936116.93,1820936116.93,10.57,122.86
"Alagoas","Outras Deduções da Receita",2018,4851277.04,6157617.26,NA,100
"Alagoas","Outras Deduções da Receita",2019,9454373.77,11504810.24,86.84,186.84
"Alagoas","Outras Deduções da Receita",2020,17029719.56,19827381.11,72.34,322
"Alagoas","Outras Deduções da Receita",2021,20041486.88,21200905.52,6.93,344.3
"Alagoas","Outras Deduções da Receita",2022,42879188.06,42879188.06,102.25,696.36
"Alagoas","Receitas Brutas Realizadas",2018,12646754910.5,16052242672.64,NA,100
"Alagoas","Receitas Brutas Realizadas",2019,12615255441.02,15351214529.05,-4.37,95.63
"Alagoas","Receitas Brutas Realizadas",2020,14592209557.87,16989434210.49,10.67,105.84
"Alagoas","Receitas Brutas Realizadas",2021,17392441382.4,18398610275.32,8.29,114.62
"Alagoas","Receitas Brutas Realizadas",2022,19586366266.59,19586366266.59,6.46,122.02
"Amapá","Deduções - FUNDEB",2018,749589591.02,951437274.23,NA,100
"Amapá","Deduções - FUNDEB",2019,816381574.67,993435983.04,4.41,104.41
"Amapá","Deduções - FUNDEB",2020,804199972.23,936314851.16,-5.75,98.41
"Amapá","Deduções - FUNDEB",2021,1086773790.3,1149644663.77,22.78,120.83
"Amapá","Deduções - FUNDEB",2022,1332088560.84,1332088560.84,15.87,140.01
"Amapá","Deduções - Transferências Constitucionais",2018,250644295.04,318137188.31,NA,100
"Amapá","Deduções - Transferências Constitucionais",2019,275678817.71,335467219.95,5.45,105.45
"Amapá","Deduções - Transferências Constitucionais",2020,293401327.86,341601629.09,1.83,107.38
"Amapá","Deduções - Transferências Constitucionais",2021,367360963.74,388613136.8,13.76,122.15
"Amapá","Deduções - Transferências Constitucionais",2022,398943738.12,398943738.12,2.66,125.4
"Amapá","Outras Deduções da Receita",2020,63008.95,73360.13,NA,100
"Amapá","Outras Deduções da Receita",2021,70721.4,74812.7,1.98,101.98
"Amapá","Outras Deduções da Receita",2022,101445.96,101445.96,35.6,138.28
"Amapá","Receitas Brutas Realizadas",2018,5965593529.11,7571994214.59,NA,100
"Amapá","Receitas Brutas Realizadas",2019,6950114923.13,8457435181.18,11.69,111.69
"Amapá","Receitas Brutas Realizadas",2020,7837963111.15,9125592535.73,7.9,120.52
"Amapá","Receitas Brutas Realizadas",2021,8871085242.9,9384285766.14,2.83,123.93
"Amapá","Receitas Brutas Realizadas",2022,10678851204.06,10678851204.06,13.8,141.03
"Amazonas","Deduções - FUNDEB",2018,1956069726.55,2482795480.53,NA,100
"Amazonas","Deduções - FUNDEB",2019,2129123233.67,2590881149.55,4.35,104.35
"Amazonas","Deduções - FUNDEB",2020,2222722832.86,2587874248.05,-0.12,104.23
"Amazonas","Deduções - FUNDEB",2021,2804802665.17,2967063105.23,14.65,119.5
"Amazonas","Deduções - FUNDEB",2022,3213847999.71,3213847999.71,8.32,129.44
"Amazonas","Outras Deduções da Receita",2022,2395546.1,2395546.1,NA,100
"Amazonas","Receitas Brutas Realizadas",2018,19974388166.33,25353043397.51,NA,100
"Amazonas","Receitas Brutas Realizadas",2019,22061402762.56,26846014193.14,5.89,105.89
"Amazonas","Receitas Brutas Realizadas",2020,25101167488.38,29224815608.57,8.86,115.27
"Amazonas","Receitas Brutas Realizadas",2021,28457344694.38,30103628524.07,3.01,118.74
"Amazonas","Receitas Brutas Realizadas",2022,32579152459.06,32579152459.06,8.22,128.5
"Bahia","Deduções - FUNDEB",2018,5268139330.47,6686731225.87,NA,100
"Bahia","Deduções - FUNDEB",2019,5607715598.83,6823900283.11,2.05,102.05
"Bahia","Deduções - FUNDEB",2020,5685942185.3,6620035183.75,-2.99,99
"Bahia","Deduções - FUNDEB",2021,7292024592.35,7713874989.88,16.52,115.36
